Date,Result,Hero,Duration,KDA
13/2/15,Lost,Clockwerk,32:43:00,2/9/04
13/2/15,Lost,Shadow Fiend,27:03:00,3/12/06
13/2/15,Lost,Shadow Fiend,36:15:00,7/10/08
11/2/15,Lost,Earthshaker,46:48:00,5/12/17
11/2/15,Won ,Earth Spirit,1:04:51,11/9/19
10/2/15,Lost,Shadow Fiend,47:03:00,16/5/09
9/2/15,Lost,Shadow Fiend,24:16:00,1/5/01
9/2/15,Won ,Shadow Fiend,45:01:00,3/5/15
8/2/15,Lost,Morphling,46:04:00,3/7/15
7/2/15,Won ,Naga Siren,30:29:00,5/1/11
7/2/15,Lost,Morphling,36:11:00,5/5/11
16/7/16,Lost,Shadow Fiend,34:28:00,9/9/07
6/2/15,Won ,Morphling,45:27:00,3/5/19
5/2/15,Lost,Morphling,25:26:00,2/3/07
5/2/15,Lost,Morphling,31:23:00,4/5/04
5/2/15,Won ,Templar Assassin,28:38:00,11/0/4
31/1/15,Lost,Shadow Fiend,39:53:00,7/8/03
31/1/15,Won ,Axe,29:15:00,19/2/06
28/1/15,Lost,Ember Spirit,43:28:00,13/6/09
28/1/15,Lost,Lone Druid,30:06:00,2/5/03
13/1/15,Won ,Earth Spirit,56:27:00,5/6/23
6/12/14,Won ,Earth Spirit,42:51:00,3/5/19
6/12/14,Lost,Puck,1:00:42,6/10/21
2/12/14,Won ,Sand King,44:40:00,3/5/25
2/12/14,Lost,Phantom Assassin,34:37:00,7/7/07
2/12/14,Lost,Morphling,38:32:00,2/8/07
1/12/14,Lost,Magnus,37:38:00,2/11/10
1/12/14,Won ,Keeper of the Light,43:27:00,4/2/07
1/12/14,Lost,Earth Spirit,20:30,0/3/4
28/11/14,Lost,Axe,48:25:00,12/10/06
28/11/14,Lost,Ogre Magi,35:52:00,0/11/9
28/11/14,Won ,Ogre Magi,4:00,0/0/0
28/11/14,Won ,Axe,32:35:00,4/5/08
28/11/14,Lost,Ogre Magi,21:22,2/2/00
28/11/14,Won ,Ogre Magi,41:44:00,7/1/15
28/11/14,Won ,Ember Spirit,45:52:00,18/4/15
27/11/14,Lost,Phantom Assassin,47:15:00,4/8/06
27/11/14,Lost,Silencer,49:16:00,3/8/04
27/11/14,Won ,Earth Spirit,35:18:00,5/6/19
27/11/14,Won ,Phantom Assassin,43:28:00,14/8/14
27/11/14,Won ,Earth Spirit,48:10:00,8/2/24
26/11/14,Lost,Ember Spirit,37:07:00,4/6/11
26/11/14,Won ,Templar Assassin,30:32:00,17/2/07
